Extension, Config parameter name, Minimum charm revision
address_standardizer_data_us, `plugin-address-standardizer-data-us-enable`, 193
address_standardizer, `plugin-address-standardizer-enable`, 193
pgAudit, `plugin-audit-enable`, 462
bloom, `plugin-bloom-enable`, 168
bool_plperl, `plugin-bool-plperl-enable`, 193
btree_gin, `plugin-btree-gin-enable`, 168
btree_gist, `plugin-btree-gist-enable`, 168
citext, `plugin-citext-enable`, 100
cube, `plugin-cube-enable`, 168
debversion, `plugin-debversion-enable`, 100
dict_int, `plugin-dict-int-enable`, 168
dict_xsyn, `plugin-dict-xsyn-enable`, 168
earthdistance, `plugin-earthdistance-enable`, 168
fuzzystrmatch, `plugin-fuzzystrmatch-enable`, 168
hll, `plugin-hll-enable`, 193
hstore, `plugin-hstore-enable`, 100
hypopg, `plugin-hypopg-enable`, 193
icu_ext, `plugin-icu-ext-enable`, 193
intarray, `plugin-intarray-enable`, 168
ip4r, `plugin-ip4r-enable`, 193
isn, `plugin-isn-enable`, 168
jsonb_plperl, `plugin-jsonb-plperl-enable`, 193
lo, `plugin-lo-enable`, 168
ltree, `plugin-ltree-enable`, 168
old_snapshot, `plugin-old-snapshot-enable`, 168
orafce, `plugin-orafce-enable`, 193
pg_freespacemap, `plugin-pg-freespacemap-enable`, 168
pg_similarity, `plugin-pg-similarity-enable`, 193
pg_trgm, `plugin-pg-trgm-enable`, 100
pg_visibility, `plugin-pg-visibility-enable`, 168
pgrowlocks, `plugin-pgrowlocks-enable`, 168
pgstattuple, `plugin-pgstattuple-enable`, 168
pg_stat_statements, `plugin-pg-stat-statements-enable`, 901
plperl, `plugin-plperl-enable`, 193
PL/Python, `plugin-plpython3u-enable`, 100
pltcl, `plugin-pltcl-enable`, 193
postgis, `plugin-postgis-enable`, 193
postgis_raster, `plugin-postgis-raster-enable`, 193
postgis_tiger_geocoder, `plugin-postgis-tiger-geocoder-enable`, 193
postgis_topology, `plugin-postgis-topology-enable`, 193
prefix, `plugin-prefix-enable`, 193
rdkit, `plugin-rdkit-enable`, 193
seg, `plugin-seg-enable`, 168
spi, `plugin-spi-enable`, 193
tablefunc, `plugin-tablefunc-enable`, 168
tcn, `plugin-tcn-enable`, 168
tds_fdw, `plugin-tds-fdw-enable`, 193
timescaledb, `plugin-timescaledb-enable`, 280
tsm_system_rows, `plugin-tsm-system-rows-enable`, 168
tsm_system_time, `plugin-tsm-system-time-enable`, 168
unaccent, `plugin-unaccent-enable`, 100
uuid_ossp, `plugin-uuid-ossp-enable`, 168
pgvector, `plugin-vector-enable`, 193
